"","Dish.ID","group","genet.lf","gen.num","vial.num","lf.init.wetmass_mg","lf.init.drymass_mg","lf.end.drymass_mg","gm.init.wetmass_mg","gm.init.drymass_mg","gm.end.drymass_mg","start.date_dmy","start_24.00.00","end.date_dmy","end_24.00.00","molting_bin","leaves","elapsed.time_hours","mean.biomass.prop","lf.init.drymass_group.calib_mg","bmass.consumed_group.cal","rel.bmass.cons_group.cal","rel.bmass.cons_no.cal","dish.bmass.consumed","leaf.preference","Scin.DW.mean","Scin.DW.sd","Scort.DW.mean","Scort.DW.sd","Tdin.DW.mean","Tdin.DW.sd","Tcin.DW.mean","Tcin.DW.sd","PGsum.DW.mean","PGsum.DW.sd","treatment"
"1","3","med","171",1,"82",358.1,152.168753064471,82.6,81.4,11.0869800292611,22.1,"07-Jun-18","19:15:00","09-Jun-18","8:00:00",0,2,36.75,0.3596618564,152.168753064471,69.5687530644707,6.27481540337067,3.88400626853449,72.1109901939103,0.964745496870818,0.544041678,0.522752451531137,1.966466937,0.630781279589899,0.453443597666667,0.429420622263441,1.61878221033333,0.42503883422876,4.582734423,1.76952734581756,"med.slow"
"2","44","med","171",2,"84",324,142.524004215162,118.4,86.9,11.8899065213649,24,"07-Jun-18","20:18:00","09-Jun-18","8:33:00",0,3,36.25,0.3596618564,142.524004215162,24.1240042151615,2.02894818153644,-0.247296215114757,87.5404458892052,0.275575523635027,0.544041678,0.522752451531137,1.966466937,0.630781279589899,0.453443597666667,0.429420622263441,1.61878221033333,0.42503883422876,4.582734423,1.76952734581756,"fast.med.slow"
"3","21","med","171",1,"83",381.4,158.758860049482,110.8,89.2,12.2256757816992,26.7,"07-Jun-18","19:47:00","09-Jun-18","8:20:00",0,2,36.55,0.3596618564,158.758860049482,47.9588600494825,3.92279828991318,1.78582556110269,74.025149038528,0.647872522681734,0.544041678,0.522752451531137,1.966466937,0.630781279589899,0.453443597666667,0.429420622263441,1.61878221033333,0.42503883422876,4.582734423,1.76952734581756,"med.slow"
"4","43","slow","318",3,"75",307,116.792320318095,44.6,81.1,11.0431840387827,30.8,"07-Jun-18","20:18:00","09-Jun-18","8:33:00",0,3,36.25,0.3625160737,116.792320318095,72.1923203180947,6.53727403840789,5.95602823979101,123.633391544613,0.583922510061081,0.171834164666667,0.178443928793497,1.323212447,0.318835160905071,0.0771035476666667,0.0815549123336111,0.979376930666667,0.139017527842526,2.55152709,0.199315278840864,"fast.med.slow"
"5","32","slow","318",2,"73",287.6,110.21803636258,88.7,83.3,11.3643546356242,18.2,"07-Jun-18","20:01:00","09-Jun-18","8:29:00",0,2,36.4666666666667,0.3625160737,110.21803636258,21.5180363625797,1.89346751773535,1.39641149403769,78.963055253652,0.272507646689424,0.171834164666667,0.178443928793497,1.323212447,0.318835160905071,0.0771035476666667,0.0815549123336111,0.979376930666667,0.139017527842526,2.55152709,0.199315278840864,"fast.slow"
"6","36","slow","318",2,"74",256.3,99.6110730735271,54.8,69.5,9.34973907361843,19.7,"07-Jun-18","20:05:00","09-Jun-18","8:30:00",0,2,36.4166666666667,0.3625160737,99.6110730735271,44.8110730735271,4.79276188572659,4.32149025462343,81.0728121466131,0.552726270213622,0.171834164666667,0.178443928793497,1.323212447,0.318835160905071,0.0771035476666667,0.0815549123336111,0.979376930666667,0.139017527842526,2.55152709,0.199315278840864,"med.slow"
"7","24B","med","58",1,"6B",280.2,130.135734432178,58,75.1,10.167264229215,14.5,"09-Jun-18","19:13:00","11-Jun-18","8:20:00",0,2,37.1166666666667,0.3546139778,130.135734432178,72.1357344321779,7.09490112639155,4.36256411039568,82.7197338258771,0.872049885750621,0.267152252,0.225222833794764,2.834584857,0.846411576312955,0.128875838666667,0.0507432321780241,2.76957082366667,0.609660397888606,6.00018377133333,1.18232157542669,"med.slow"
"8","41","med","168",2,"96",233.9,117.040371625051,87.7,75.2,10.1818628927078,21.2,"07-Jun-18","20:17:00","09-Jun-18","8:32:00",0,3,36.25,0.3684807256,117.040371625051,29.3403716250514,2.88163098778956,0.07887053229509,109.08194005147,0.268975520706793,0.54183308,0.300176980763383,2.30932077266667,0.73762138314943,0.394854577,0.288086494737834,2.029049915,0.271511334951448,5.27505834466667,0.538204583193273,"fast.med.slow"
"9","22","med","168",2,"95",249.1,121.33949721184,86.1,76,10.2986522006501,13.7,"07-Jun-18","19:53:00","09-Jun-18","8:22:00",0,2,36.4833333333333,0.3684807256,121.33949721184,35.2394972118402,3.4217581607053,0.67491064514182,71.1067712733787,0.495585674623837,0.54183308,0.300176980763383,2.30932077266667,0.73762138314943,0.394854577,0.288086494737834,2.029049915,0.271511334951448,5.27505834466667,0.538204583193273,"fast.med"
"10","6","med","168",1,"94",237,117.917166974989,60.7,71,9.56871902601037,14.1,"07-Jun-18","19:24:00","09-Jun-18","8:03:00",0,2,36.65,0.3684807256,117.917166974989,57.2171669749886,5.97960571519102,3.00254654930239,55.3255160428019,1.03419129305045,0.54183308,0.300176980763383,2.30932077266667,0.73762138314943,0.394854577,0.288086494737834,2.029049915,0.271511334951448,5.27505834466667,0.538204583193273,"med.slow"
