"","x"
"1","Dish.ID"
"2","group"
"3","genet.lf"
"4","gen.num"
"5","vial.num"
"6","lf.init.wetmass_mg"
"7","lf.init.drymass_mg"
"8","lf.end.drymass_mg"
"9","gm.init.wetmass_mg"
"10","gm.init.drymass_mg"
"11","gm.end.drymass_mg"
"12","start.date_dmy"
"13","start_24.00.00"
"14","end.date_dmy"
"15","end_24.00.00"
"16","molting_bin"
"17","leaves"
"18","elapsed.time_hours"
"19","mean.biomass.prop"
"20","lf.init.drymass_group.calib_mg"
"21","bmass.consumed_group.cal"
"22","rel.bmass.cons_group.cal"
"23","rel.bmass.cons_no.cal"
"24","dish.bmass.consumed"
"25","leaf.preference"
"26","Scin.DW.mean"
"27","Scin.DW.sd"
"28","Scort.DW.mean"
"29","Scort.DW.sd"
"30","Tdin.DW.mean"
"31","Tdin.DW.sd"
"32","Tcin.DW.mean"
"33","Tcin.DW.sd"
"34","PGsum.DW.mean"
"35","PGsum.DW.sd"
