,Serial.num,cup.num,larvae.num,initial.aggregate.wetmass_mg,initial.aggregate.drymass_mg,larval.biomass.final_mg,sex,instar,Exclude,Notes,larvae.stuck.to.dish,initial.mean.drymass_mg,larval.biomass.gained.average_mg
1,2,13,1,217.5,27.7332581,60.3,F,5,,,,2.77332581,57.52667419
2,2,13,2,217.5,27.7332581,67.9,F,5,,,,2.77332581,65.12667419
3,2,13,3,217.5,27.7332581,27,F,4,,,,2.77332581,24.22667419
4,2,13,4,217.5,27.7332581,49.1,F,5?,,,,2.77332581,46.32667419
5,2,13,5,217.5,27.7332581,50.9,F,5?,,,,2.77332581,48.12667419
6,2,13,6,217.5,27.7332581,26,F,4,,,,2.77332581,23.22667419
7,2,13,7,217.5,27.7332581,67.3,F,5,,,x,2.77332581,64.52667419
8,2,13,8,217.5,27.7332581,35.8,M,4M,,,,2.77332581,33.02667419
9,2,13,9,217.5,27.7332581,24.5,M,4,,,,2.77332581,21.72667419
10,2,13,10,217.5,27.7332581,34.9,M,4,,,,2.77332581,32.12667419
11,19,33,1,215.7,27.5059847,39.3,F,4,,,,2.75059847,36.54940153
12,19,33,2,215.7,27.5059847,45,F,4,,,,2.75059847,42.24940153
13,19,33,3,215.7,27.5059847,29.4,F,4,,,,2.75059847,26.64940153
14,19,33,4,215.7,27.5059847,26.5,F,4,,,,2.75059847,23.74940153
15,19,33,5,215.7,27.5059847,32.1,F,5?,,,x,2.75059847,29.34940153
16,19,33,6,215.7,27.5059847,57.5,F,4,,,,2.75059847,54.74940153
17,19,33,7,215.7,27.5059847,48.2,F,4,,,,2.75059847,45.44940153
18,19,33,8,215.7,27.5059847,23.7,M,4,,,,2.75059847,20.94940153
19,19,33,9,215.7,27.5059847,13.5,M,,,,,2.75059847,10.74940153
20,19,33,10,215.7,27.5059847,23.1,M,4,,,,2.75059847,20.34940153
21,34,24,1,167.7,21.4453607,14.5,F,4,,,,2.14453607,12.35546393
22,34,24,2,167.7,21.4453607,15.1,F,4,,,,2.14453607,12.95546393
23,34,24,3,167.7,21.4453607,28.8,F,5,,,,2.14453607,26.65546393
24,34,24,4,167.7,21.4453607,16.2,F,4,,,,2.14453607,14.05546393
25,34,24,5,167.7,21.4453607,29.8,F,5,,,,2.14453607,27.65546393
26,34,24,6,167.7,21.4453607,23.3,M,4,,,,2.14453607,21.15546393
27,34,24,7,167.7,21.4453607,17.4,M,4,,,,2.14453607,15.25546393
28,34,24,8,167.7,21.4453607,11.8,M,3?,,,,2.14453607,9.65546393
29,34,24,9,167.7,21.4453607,NA,,,,,,2.14453607,NA
30,34,24,10,167.7,21.4453607,NA,,,,,,2.14453607,NA
31,57,17,1,192.9,24.6271883,40,F,5,,,,2.46271883,37.53728117
32,57,17,2,192.9,24.6271883,20.7,F,4,,,,2.46271883,18.23728117
33,57,17,3,192.9,24.6271883,29.7,F,4,,,,2.46271883,27.23728117
34,57,17,4,192.9,24.6271883,18.6,F,4,,,,2.46271883,16.13728117
35,57,17,5,192.9,24.6271883,18.6,F,4,,,,2.46271883,16.13728117
36,57,17,6,192.9,24.6271883,29.3,M,4,,,,2.46271883,26.83728117
37,57,17,7,192.9,24.6271883,25.7,M,4,,,,2.46271883,23.23728117
38,57,17,8,192.9,24.6271883,20.6,M,4,,,,2.46271883,18.13728117
39,57,17,9,192.9,24.6271883,24,M,4,,,,2.46271883,21.53728117
40,57,17,10,192.9,24.6271883,27.6,M,4,,,,2.46271883,25.13728117
41,73,32,1,210.3,26.8241645,33.3,M,4,,,,2.68241645,30.61758355
42,73,32,2,210.3,26.8241645,33.2,M,4,,,,2.68241645,30.51758355
43,73,32,3,210.3,26.8241645,12.2,M,4,,,,2.68241645,9.51758355
44,73,32,4,210.3,26.8241645,24.7,M,4,,,,2.68241645,22.01758355
45,73,32,5,210.3,26.8241645,15.9,M,4,,,,2.68241645,13.21758355
46,73,32,6,210.3,26.8241645,19.6,M,4,,,,2.68241645,16.91758355
47,73,32,7,210.3,26.8241645,17.8,F,4,,,,2.68241645,15.11758355
48,73,32,8,210.3,26.8241645,40.4,F,4,,,,2.68241645,37.71758355
49,73,32,9,210.3,26.8241645,26.1,F,4,,,x,2.68241645,23.41758355
50,73,32,10,210.3,26.8241645,NA,,,,,,2.68241645,NA
51,119,19,1,189,24.1347626,57.1,F ,5?,,,,2.41347626,54.68652374
52,119,19,2,189,24.1347626,25,F,4,,,x,2.41347626,22.58652374
53,119,19,3,189,24.1347626,28.7,F,4,,,x,2.41347626,26.28652374
54,119,19,4,189,24.1347626,33.3,M,4,,,,2.41347626,30.88652374
55,119,19,5,189,24.1347626,36,M,4,,,,2.41347626,33.58652374
56,119,19,6,189,24.1347626,46,M,5,,,,2.41347626,43.58652374
57,119,19,7,189,24.1347626,38.9,M,4,,,,2.41347626,36.48652374
58,119,19,8,189,24.1347626,13.6,M,4?,,,,2.41347626,11.18652374
59,119,19,9,189,24.1347626,33.3,M,4,,,,2.41347626,30.88652374
60,119,19,10,189,24.1347626,NA,,,,,,2.41347626,NA
61,127,29,1,193.4,24.6903198,30.2,M,5,,,,2.46903198,27.73096802
62,127,29,2,193.4,24.6903198,21.9,M,4,,,,2.46903198,19.43096802
63,127,29,3,193.4,24.6903198,26.5,M,4,,,,2.46903198,24.03096802
64,127,29,4,193.4,24.6903198,40.6,M,5,,,,2.46903198,38.13096802
65,127,29,5,193.4,24.6903198,14.4,M,4,,,,2.46903198,11.93096802
66,127,29,6,193.4,24.6903198,27.4,M,4,,,,2.46903198,24.93096802
67,127,29,7,193.4,24.6903198,21.6,M,4,,,,2.46903198,19.13096802
68,127,29,8,193.4,24.6903198,21.6,F,4,,,,2.46903198,19.13096802
69,127,29,9,193.4,24.6903198,27.5,F,4,,,,2.46903198,25.03096802
70,127,29,10,193.4,24.6903198,NA,,,,,,2.46903198,NA
71,133,8,1,203.4,25.9529498,21.4,F ,4,,,,2.59529498,18.80470502
72,133,8,2,203.4,25.9529498,27.3,F,4,,,,2.59529498,24.70470502
