SerialNo,Tree.ID,Genet.Compound,Genet.2014,Geno.Hilary,Genet.SSR,Latitude,Longitude,Block,Row,Position,RowA,PosA,Dist.Edge,SNPFlag.01,SeqFlag.01,SSRFlag.01,SexMkrFlag.01,Ploidy,Hybrid.01,,PlantingDate,PlantingYear,Age.2016,Vol.2012,Vol.2015,Vol.2016,Vol.2017,Vol.2018,GrowLn.1516,GrowLn.1617,GrowLn.1718,GrowLn.1518,ExclusionFlag,ExclusionFlagCode,Comments.2015,Comments.2016,Comments.2017,Comments.2018,BknLdr.2015,BknLdr.2017,BBreakDegDay.2014,BBreakDegDay.2015,BBreakDegDay.2016,BBreakDegDay.2017,Sex.2017,Sex.2018,Sex.Genet,Sex.TOZ19,SexTOZ19.01,TOZcheck.Ramet,FlTwigs.2017,FlTwigs.2018,ALA.J2016,ALA.A2016,ALA.J2017,ALA.A2017,SLA.2014,SLA.2015,SLA.J2016,SLA.A2016,SLA.J2017,SLA.A2017,CT.2014,CT.2015,CT.J2016,CT.A2016,CT.J2017,CT.A2017,PGsum.2014,PGsum.2015,PGsum.J2016,PGsum.A2016,PGsum.J2017.JenaEQ,PGsum.A2017,Scort.2014,Scort.2015,Tcin.2014,Tcin.2015,Scin.J2016,Scort.J2016,Tcin.J2016,Tdin.J2016,Scin.A2016,Scort.A2016,Tcin.A2016,Tdin.A2016,Scin.J2017.JenaEQ,Scort.J2017.JenaEQ,Tcin.J2017.JenaEQ,Tdin.J2017.JenaEQ,Scin.A2017,Scort.A2017,Tcin.A2017,Tdin.A2017,SA.J2017,JA.J2017,JAIle.J2017,ABA.J2017,BAgluc.J2017,Cpct.J2016,Cpct.A2016,Cpct.J2017,Cpct.A2017,Npct.2014,Npct.2015,Npct.J2016,Npct.A2016,Npct.J2017,Npct.A2017,CN.2014,CN.2015,CN.J2016,CN.A2016,CN.J2017,CN.A2017,EFNMean.2014,EFNMean.2016,EFNMean.2017,Venturia.2017,LeafAreaSum.2016,LeafAreaSum.2017,DiseaseEdgePct.2016,DiseaseEdgePct.2017,ScrapHolePct.2016,ScrapHolePct.2017,DamagePct.2016,DamagePct.2017,INSECTS - multiple columns or separate file
28,1_A_28,1,1,1,299,NA,NA,1,A,28,A,28,1,1,0,1,1,2,0,0,9/9/2010,2010,6,0.4,17.1,46.8,88.1,141.1,1.01,0.63,0.47,2.11,,,,,,,,,151.0,225.6,212.8,204.7,,F,F,,0,1,0,7,13.48,13.07,13.29,14.50,114.73,134.86,121.36,114.08,121.69,125.86,6.77,8.46,7,5.37,9.14,7.82,15.50,13.93,9.85,6.50,6.75,6.30,6.92,7.44,8.58,6.49,0.10,3.97,5.69,0.10,0.38,2.65,3.28,0.19,0.41,4.14,2.16,0.05,0.11,3.02,3.05,0.12,1660.08,2536.78,458.20,46.54,90716.88,,47.04,,,1.94,2.02,,1.90,,,25.94,24.68,,25.22,,,1.08,0.58,0.92,1,157.58,262.21,6.45,7.62,1.35,2.49,7.79,10.12,
408,2_A_16,1,1,1,,NA,NA,2,A,16,A,16,1,0,0,0,0,2,0,0,9/9/2010,2010,6,0.4,9.6,31.7,68.2,114.5,1.19,0.77,0.52,2.48,,,,,,,,,157.1,225.6,187.9,204.7,F,,F,,NA,,24,0,14.55,12.16,14.88,12.30,111.77,125.99,128.38,114.96,129.47,128.49,13.89,11.78,7.17,7.59,9.01,7.83,15.04,14.59,8.69,7.43,7.97,6.84,7.96,6.36,7.08,8.23,0.13,3.82,4.65,0.08,0.30,2.78,4.19,0.17,0.30,4.93,2.69,0.05,0.21,3.28,3.22,0.13,684.11,1116.65,332.49,76.08,74495.79,,48.53,,,1.81,1.97,,1.95,,,27.74,25.58,,25.25,,,0.91,0.50,0.50,2,146.83,225.79,2.23,4.76,0.96,3.77,3.19,8.53,
1060,3_J_24,1,1,1,,NA,NA,3,J,24,J,24,5,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,3.1,17.1,45.2,97.0,1.70,0.97,0.76,3.43,,,,,,,,,162.7,240.1,207.5,213.1,F,,F,,NA,,1,0,14.53,17.46,13.89,11.98,117.77,120.55,118.29,113.24,136.27,127.18,7.96,8.03,4.28,6.81,5.52,6.14,18.84,13.69,10.81,8.20,9.18,5.96,9.25,6.94,9.59,6.75,0.16,4.71,5.84,0.10,0.36,3.13,4.52,0.19,0.31,5.62,3.20,0.06,0.15,2.62,3.05,0.14,470.45,881.72,270.98,42.69,35453.32,,46.87,,,1.74,1.94,,2.02,,,28.12,25.44,,23.50,,,0.36,0.50,0.75,1,211.25,192.99,4.16,3.85,1.23,2.26,5.39,6.12,
355,1_M_19,2,2,2,,43.55065806,-89.56943894,1,M,19,M,19,2,0,0,0,0,2,0,0,9/9/2010,2010,6,0.2,1.9,12.0,35.0,76.4,1.83,1.07,0.78,3.68,,,,double trunk at ca. 0.6 m,,,,,226.0,350.0,246.8,252.7,F,F,F,,NA,,17,4,10.57,11.18,12.69,12.27,118.54,151.54,115.77,130.16,148.83,148.38,22.76,16.86,15.56,14.95,14.72,12.78,8.08,6.23,2.88,4.32,3.50,2.97,4.82,3.69,3.26,2.54,0.09,1.40,1.06,0.02,0.28,2.09,1.89,0.06,0.36,2.55,0.56,0.02,0.16,1.57,1.18,0.06,661.35,578.45,104.06,43.21,41084.37,,48.64,,,2.31,2.50,,2.16,,,22.20,19.55,,22.34,,,0.33,0.25,0.33,1,134.63,150.47,1.66,2.18,0.55,3.30,2.21,5.48,
607,2_H_19,2,2,2,182,43.55065806,-89.56943894,2,H,19,H,19,7,1,0,1,1,2,0,0,9/9/2010,2010,6,0.1,2.2,9.2,26.1,55.6,1.45,1.04,0.76,3.25,,,,,,,,,230.7,350.0,246.8,277.6,,F,F,,0,1,0,15,12.15,11.16,14.92,13.57,116.61,139.32,134.00,129.20,143.25,138.18,21.10,20.99,15.31,9.08,15.67,10.45,7.98,5.86,1.92,2.55,3.41,2.16,4.78,3.84,3.20,2.02,0.10,1.30,0.72,0.03,0.21,1.26,1.03,0.05,0.37,2.51,0.51,0.02,0.10,1.23,0.79,0.04,1068.02,1142.82,288.85,75.05,66807.40,,48.41,,,2.23,2.56,,2.02,,,22.44,18.70,,24.74,,,0.75,0.42,0.75,1,136.71,354.11,6.24,1.97,2.58,1.32,8.82,3.29,
944,3_F_20,2,2,2,,43.55065806,-89.56943894,3,F,20,F,20,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.0,0.7,3.5,12.0,34.6,1.55,1.23,1.06,3.84,,,,,,,,,234.9,NA,264.7,273.4,,F,F,,NA,,0,2,11.38,10.09,10.87,12.82,122.94,125.14,121.13,126.04,132.67,125.85,23.96,17.82,13,14.51,16.04,13.25,13.91,3.62,1.72,2.15,4.65,2.62,8.26,2.58,5.65,1.04,0.06,0.98,0.66,0.01,0.17,1.06,0.88,0.05,0.54,2.94,1.12,0.04,0.11,1.39,1.08,0.04,472.87,1487.61,310.76,108.01,104854.19,,48.12,,,1.90,2.45,,2.12,,,26.27,19.85,,22.82,,,0.83,0.08,0.17,1,121.76,154.36,3.35,3.24,1.46,1.67,4.81,4.92,
1493,4_L_9,2,2,2,,43.55065806,-89.56943894,4,L,9,L,9,3,0,0,0,0,2,0,0,9/9/2010,2010,6,0.2,4.7,17.4,43.0,93.5,1.31,0.91,0.78,3.00,,,,,,,,,221.5,350.0,258.0,273.4,,F,F,,NA,,0,9,13.27,11.86,11.95,12.19,125.12,135.74,136.41,121.15,147.08,139.88,18.73,16.20,13.62,12.68,17.89,10.32,4.95,4.65,2.20,1.38,3.12,1.59,3.07,3.02,1.88,1.63,0.09,1.27,0.82,0.02,0.12,0.73,0.49,0.03,0.34,2.26,0.50,0.03,0.13,0.92,0.51,0.03,872.75,959.13,222.19,43.97,29485.65,,47.63,,,2.42,2.30,,2.24,,,20.30,21.70,,21.71,,,0.50,0.33,0.83,1,143.05,214.90,1.42,1.97,0.80,5.92,2.21,7.89,
2155,3_EB_27,2,2,2,,43.55065806,-89.56943894,3,EB,27,EB,27,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.1,1.0,6.6,20.2,45.6,1.90,1.12,0.81,3.83,,,,,,,,,230.7,340.8,250.5,276.2,,,F,,NA,,0,0,10.67,11.25,11.66,13.23,129.16,122.31,135.06,120.98,132.30,130.54,19.69,20.40,7.96,11.62,15.21,11.65,8.60,5.92,2.82,2.04,2.77,2.20,5.36,3.83,3.24,2.09,0.38,5.89,5.59,0.21,0.16,1.07,0.81,0.04,0.25,2.13,0.37,0.02,0.12,1.27,0.77,0.04,717.07,1110.66,376.35,34.07,41202.71,,47.76,,,2.10,2.50,,2.08,,,24.20,19.20,,23.42,,,NA,0.58,0.67,NA,135.73,159.46,6.42,2.46,1.49,1.86,7.91,4.33,
136,1_E_24,3,3,3,,43.55093917,-89.56943894,1,E,24,E,24,5,0,0,0,0,2,0,0,9/9/2010,2010,6,0.3,9.3,26.8,53.1,101.2,1.06,0.68,0.64,2.39,,,,,,,,,177.5,299.5,219.8,222.9,,,F,,NA,,0,0,14.66,11.88,16.36,16.48,123.44,155.92,142.52,149.80,182.29,169.06,20.37,14.67,12.2,8.3,9.39,8.07,4.03,4.29,1.89,1.96,3.69,2.23,2.73,3.43,1.30,0.86,0.07,1.09,0.64,0.02,0.16,1.01,0.74,0.05,0.40,2.63,0.64,0.03,0.16,1.30,0.71,0.06,1196.04,1396.23,275.66,75.65,135590.76,,45.17,,,2.08,2.26,,1.94,,,24.35,22.14,,23.27,,,0.08,0.33,0.25,0,146.46,252.37,8.03,2.19,3.06,3.53,11.10,5.72,
530,2_E_26,3,3,3,575,43.55093917,-89.56943894,2,E,26,E,26,5,1,0,1,1,2,0,0,9/9/2010,2010,6,0.3,10.0,26.5,49.3,82.1,0.97,0.62,0.51,2.10,,,,,,,,,177.5,282.0,212.8,213.1,F,,F,,1,0,4,0,14.07,13.83,15.38,14.23,135.49,158.30,158.77,137.60,174.56,176.62,18.82,14.37,11.64,7.75,9.65,7.64,4.50,3.69,2.61,2.16,3.02,2.46,2.94,2.75,1.56,0.94,0.10,1.34,0.99,0.03,0.16,1.14,0.81,0.05,0.37,2.19,0.44,0.02,0.16,1.43,0.82,0.05,438.96,974.99,192.18,51.10,59024.49,,46.44,,,2.23,2.49,,2.15,,,22.82,19.54,,21.84,,,1.17,0.50,0.42,1,167.76,200.97,3.27,2.46,1.55,2.64,4.82,5.10,
