SerialNo,Tree.ID,Genet,Genet Compound,total vol (L) 2017,Acceptable (13-May),ready (13-May)
2,1_A_2,118,118,75.0470051,x,
19,1_A_19,335,335,15.88303684,x,x
34,1_B_6,318,318,14.41655982,x,
57,1_C_1,320,320,54.5036121,x,x
73,1_C_17,174,174,40.65092919,x,x
119,1_E_7,158,158,2.932011814,x,
127,1_E_15,168,168,57.440195,x,x
133,1_E_21,268,268,23.78283049,x,x
141,1_F_1,207,207,14.64733231,x,x
153,1_F_13,66,66,29.73270355,x,
156,1_F_16,6,6,9.310938822,x,
159,1_F_19,58,58,48.69295253,x,
172,1_G_4,368,368,68.541265,x,
213,1_H_17,16,16,98.85015176,x,x
223,1_H_27,336,336,18.80978895,x,x
226,1_I_2,141,141,72.63748,x,x
234,1_I_10,256,256,14.61910605,x,x
238,1_I_14,178,178,10.9829795,x,
242,1_I_18,91,91,89.6663896,x,x
244,1_I_20,333,333,129.9209599,x,x
250,1_I_26,251,251,127.7148725,x,
282,1_K_2,138,138,49.5275819,x,x
286,1_K_6,203,203,44.87054272,x,
298,1_K_18,37,37,21.63542221,x,
328,1_L_20,63,63,102.772845,x,
329,1_L_21,135,135,98.1342208,x,x
334,1_L_26,182,182,101.2366784,x,x
369,1_N_5,237,237,72.495918,x,
415,2_A_23,171,171,40.85074118,x,x
421,2_B_1,318,318,43.10367075,x,
441,2_B_21,58,58,27.73333564,x,x
451,2_C_3,336,336,35.39417297,x,x
466,2_C_18,186,186,121.73148,x,
467,2_C_19,186,186,114.6358341,x,
473,2_C_25,168,168,40.81745062,x,x
512,2_E_8,63,63,101.121515,x,
523,2_E_19,172,172,120.9771774,x,
526,2_E_22,251,251,117.74376,x,
528,2_E_24,158,158,12.36374886,x,
529,2_E_25,138,138,60.621615,x,x
555,2_F_23,91,91,134.208,x,x
570,2_G_10,310,310,43.64360037,x,x
586,2_G_26,5,5,42.72851215,x,
602,2_H_14,6,6,37.64425821,x,
616,2_H_28,256,256,24.19077302,x,x
617,2_I_1,143,143,76.97595628,x,x
639,2_I_23,203,203,64.42358261,x,
647,2_J_3,66,66,22.04381642,x,
650,2_J_6,118,118,139.72032,x,
671,2_J_27,333,333,95.2571501,x,
672,2_J_28,368,368,43.70693126,x,
683,2_K_11,16,16,99.412425,x,x
697,2_K_25,174,174,48.5611424,x,x
700,2_K_28,135,135,91.7861258,x,x
715,2_L_15,189,189,57.8680326,x,x
751,2_M_23,182,182,63.52605176,x,
783,2_N_27,207,207,14.45484447,x,x
803,3_A_19,24,24,23.59922153,x,
815,3_B_3,182,182,94.0445414,x,
819,3_B_7,320,320,41.69225224,x,
833,3_B_21,178,178,12.06124498,x,x
835,3_B_23,186,186,169.1964358,x,
848,3_C_8,37,37,21.70110264,x,
858,3_C_18,333,333,102.4534273,x,x
859,3_C_19,251,251,66.8655,x,
872,3_D_4,172,172,99.5133392,x,
902,3_E_6,58,58,72.4501472,x,x
906,3_E_10,189,189,39.93019065,x,
930,3_F_6,135,135,98.8171633,x,x
937,3_F_13,237,237,73.1974152,x,
941,3_F_17,63,63,80.2947213,x,
950,3_F_26,5,5,41.4072684,x,
955,3_G_3,171,171,47.7080072,x,x
959,3_G_7,141,141,106.33964,x,x
965,3_G_13,143,143,27.88620118,x,
1032,3_I_24,66,66,19.90572563,x,
1053,3_J_17,368,368,48.44288,x,
1103,3_L_11,335,335,17.76257719,x,
1114,3_L_22,16,16,107.8854205,x,x
1127,3_M_7,118,118,74.4978825,x,
1149,3_N_1,138,138,42.4044745,x,x
1150,3_N_2,336,336,20.526022,x,x
1151,3_N_3,268,268,7.307988513,x,x
1157,3_N_9,310,310,56.16830588,x,x
1190,4_A_14,91,91,82.57064523,x,
1197,4_A_21,203,203,35.1904554,x,
1211,4_B_7,174,174,38.03539061,x,x
1249,4_C_17,6,6,14.3587089,x,
1252,4_C_20,171,171,40.60369672,x,x
1270,4_D_10,141,141,116.3351877,x,x
1273,4_D_13,237,237,98.7022918,x,
1303,4_E_15,168,168,44.7822955,x,x
1309,4_E_21,143,143,41.2160847,x,
1317,4_F_1,5,5,34.32736238,x,
1321,4_F_5,318,318,3.889425719,x,
1371,4_G_27,172,172,96.0982,x,
1379,4_H_7,268,268,19.94698785,x,x
1391,4_H_19,256,256,17.6808972,x,
1403,4_I_3,310,310,55.168704,x,x
1419,4_I_19,24,24,23.41019329,x,
1423,4_I_23,178,178,9.800112448,x,x
1442,4_J_14,320,320,35.54342859,x,
1450,4_J_22,189,189,41.2583625,x,x
1481,4_K_25,24,24,16.66253452,x,
1485,4_L_1,335,335,16.98738948,x,
1521,4_M_9,207,207,12.26484472,x,
1538,4_M_26,37,37,15.99124191,x,
1552,4_N_12,158,158,10.3619472,x,
