"","Genet","SerialNo","Tree.ID","Genet.Compound","total.vol.2017","total.vol.2016","group","CTpct.aug16","CTpct.jun16","PGpctsum.Corr.aug16","PGpctsum.Corr.jun16"
"1","118",1127,"3_M_7","118",74.4978825,39.96403171,"fast",2.440677966,2.522123894,7.23121579673986,11.7036805248285
"2","118",2,"1_A_2","118",75.0470051,19.0363417453125,"fast",7.4375,4.270072993,8.80064955514478,9.84338444368699
"3","118",650,"2_J_6","118",139.72032,58.8544,"fast",3.13253012,3.270676692,7.97239308561273,9.68826325817018
"4","135",329,"1_L_21","135",98.1342208,52.400457302,"fast",8.619402985,8.225806452,3.78301366307182,4.83385432940667
"5","135",700,"2_K_28","135",91.7861258,42.284646432,"fast",7.303370787,9.0625,5.0607995496807,5.33700667805836
"6","135",930,"3_F_6","135",98.8171633,50.481474094,"fast",9.063829787,7.5,4.21018679068504,3.14506581700994
"7","138",1149,"3_N_1","138",42.4044745,19.331253207,"med",6.272727273,8.823529412,3.06276505956176,6.98103250351981
"8","138",282,"1_K_2","138",49.527581897775,28.98742928182,"med",9.945652174,10,4.00033136365737,4.81494740915822
"9","138",529,"2_E_25","138",60.621615,25.27986932586,"med",7.739726027,9.850746269,4.49524720380821,5.28690084843792
"10","141",1270,"4_D_10","141",116.3351877,51.10521873424,"fast",12.75303644,9.082568807,3.22408545485993,10.9114360968051
"11","141",226,"1_I_2","141",72.63748,35.543291959375,"fast",11.27622378,14.44237918,4.04865731087222,3.94386522136783
"12","141",959,"3_G_7","141",106.33964,56.413953974,"fast",12.22222222,11.0840708,3.58580054181256,5.04852523381065
"13","143",1309,"4_E_21","143",41.2160847,14.72838827875,"med",7.32,8.754863813,9.36076688529552,16.9873589181908
"14","143",617,"2_I_1","143",76.975956284,36.10784118425,"med",3.314606742,6.305309735,7.59658914496469,10.5084222556052
"15","143",965,"3_G_13","143",27.88620117948,23.576295113,"med",10.45126354,6.54028436,4.52169383718175,10.2254166176905
"16","158",119,"1_E_7","158",2.9320118144,0.51123157596,"slow",8.897338403,8.318777293,6.80633819029008,10.2304661087219
"17","158",1552,"4_N_12","158",10.3619472,3.47663778509,"slow",4.391891892,6.196911197,7.60059697892039,9.78893550589719
"18","158",528,"2_E_24","158",12.363748857,4.66778341524,"slow",6.515775034,7.887931034,8.58552032641937,9.47092479412524
"19","16",1114,"3_L_22","16",107.8854205,54.458731,"fast",9.383259912,8.278008299,4.95316806934027,6.71569083451233
"20","16",213,"1_H_17","16",98.850151764,60.43454429069,"fast",6.764705882,9.422382671,5.53849235273025,4.58863859666876
"21","16",683,"2_K_11","16",99.412425,44.39574124,"fast",9.978540773,8.433476395,5.57566224799659,5.82770794521181
"22","168",127,"1_E_15","168",57.440195,22.63833607325,"med",5.584415584,9.317180617,2.7698594095547,3.92538466656505
"23","168",1303,"4_E_15","168",44.7822955,18.321128645325,"med",9.256756757,8.484162896,2.97224391398452,4.69060179576651
"24","168",473,"2_C_25","168",40.817450623,18.81958136,"med",5.677570093,5.055555556,4.35446921593275,8.54631904337249
"25","171",1252,"4_C_20","171",40.60369672488,19.93219505425,"med",11.56779661,14.09433962,2.43115278907454,3.69023211732036
"26","171",415,"2_A_23","171",40.850741178,19.60792789608,"med",9.178082192,11.04089219,2.7014387020762,3.89318611753846
"27","171",955,"3_G_3","171",47.7080072,26.1332923104,"med",11.58163265,12.94354839,3.56432277966656,2.64531446710358
"28","172",1371,"4_G_27","172",96.0982,62.7723408,"fast",11.47058824,11.52173913,1.79178202948677,2.40233296493522
"29","172",523,"2_E_19","172",120.9771774,48.6516195104475,"fast",6.288461538,10.16129032,1.75892684872556,2.59443590699086
"30","172",872,"3_D_4","172",99.5133392,55.7040793968,"fast",10.33195021,7.263779528,2.14933635822004,1.06611310143492
"31","174",1211,"4_B_7","174",38.03539060674,20.3829651522,"med",12,10.57291667,4.21636664457304,2.97578827850913
"32","174",697,"2_K_25","174",48.5611424,30.10218811,"med",11.01818182,12.32727273,2.84880388547227,4.58418879588163
"33","174",73,"1_C_17","174",40.6509291910575,21.4810087905,"med",12.51012146,15.55,2.94150450461725,2.75021574000571
"34","176",293,"1_K_13","176",33.89835343125,18.4480996642425,"slow",10.14869888,14.00735294,2.85449492081499,3.78891077786584
"35","176",497,"2_D_21","176",17.022179072,8.260594302375,"slow",8.638392857,13.50553506,2.50399611430927,4.11838340298889
"36","176",894,"3_D_26","176",24.57864204912,10.3838352892475,"slow",12.01171875,12.88834951,2.15065032400237,3.66175763745762
"37","178",1423,"4_I_23","178",9.800112448,3.2469328,"slow",4.606299213,14.78723404,3.08435740700679,4.73568089413311
"38","178",238,"1_I_14","178",10.98297949875,4.47452888049,"slow",8.642857143,13.37837838,5.0949244455007,6.21593724418716
"39","178",833,"3_B_21","178",12.061244982745,4.826980619705,"slow",12.14634146,13.93333333,3.75657734324076,6.66412466832531
"40","182",334,"1_L_26","182",101.2366784,44.05530325574,"fast",6.5625,6.397058824,5.55094547082302,7.53537644795764
"41","182",751,"2_M_23","182",63.526051764,30.07006112525,"fast",6.803571429,7.285714286,5.1448762698931,6.16317772296944
"42","182",815,"3_B_3","182",94.0445414,40.36555017425,"fast",6.081081081,6.909448819,5.80367925450114,7.14307160954534
"43","186",466,"2_C_18","186",121.73148,57.43488778938,"fast",7.017167382,7.14,4.32325415104052,8.54132311029641
"44","186",467,"2_C_19","186",114.6358341,54.64172252609,"fast",7.062256809,9.170305677,5.43209864708303,9.95088323223805
"45","186",835,"3_B_23","186",169.1964358,82.381675216,"fast",7.46835443,6.329113924,4.73396749698619,6.28710079424816
"46","189",1450,"4_J_22","189",41.2583625,18.745726923,"med",8.81944444444444,9.382978723,3.44630304280077,5.08600234908997
"47","189",715,"2_L_15","189",57.8680326,28.481962756,"med",9.219512195,8.634146341,4.96038617361362,5.5178942311729
"48","189",906,"3_E_10","189",39.93019065,15.9772005195,"med",10.40590406,9.133333333,3.32089651234438,5.76598070884581
"49","203",1197,"4_A_21","203",35.1904554,15.77016172352,"med",10.74898785,8.9408867,2.0642108730272,2.00326625325384
"50","203",286,"1_K_6","203",44.87054272,29.02712189992,"med",7.304832714,7.19330855,5.28798851678563,5.22732597836481
"51","203",639,"2_I_23","203",64.423582608,40.9247003696875,"med",6.029411765,9,4.45512039946435,4.86242570237499
"52","207",141,"1_F_1","207",14.64733230675,6.735054688995,"slow",9.124423963,6.074380165,5.77489648719314,6.97577309673053
"53","207",1521,"4_M_9","207",12.264844716,6.39517001888,"slow",5.799256506,8.925619835,6.57392207125977,9.6370551255447
"54","207",783,"2_N_27","207",14.45484446592,7.740799324,"slow",8.726235741,8.755980861,5.72102916361234,5.29180914316424
"55","237",1273,"4_D_13","237",98.7022918,41.8470229590125,"fast",10.60714286,10.46641791,6.7179008045914,7.99070307373075
"56","237",369,"1_N_5","237",72.495918,39.1353463545,"fast",13.95833333,12,8.84250675859821,8.11428954521249
"57","237",937,"3_F_13","237",73.1974152,34.4746103877,"fast",12.92410714,10.92592593,5.96504647924267,7.73049011716972
"58","24",1419,"4_I_19","24",23.410193292,8.91753858856,"slow",8.012820513,15.22058824,2.71885197757809,4.53718562811474
"59","24",1481,"4_K_25","24",16.662534524,5.39913290631,"slow",12.65625,18.39130435,2.03015665459086,4.74966363259389
"60","24",803,"3_A_19","24",23.599221534,9.8340876390625,"slow",12.65822785,17.74752475,4.16614559961727,4.05065873802067
"61","251",250,"1_I_26","251",127.7148725,70.8482835,"fast",7.793594306,10.36764706,1.49495908539387,1.30094818023458
"62","251",526,"2_E_22","251",117.74376,54.26252890551,"fast",12.26635514,11.1,1.17387434053446,2.4595728650731
"63","251",859,"3_C_19","251",66.8655,29.0554134156,"fast",11.68141593,11.71698113,1.23729466856591,1.58801135443728
"64","256",1391,"4_H_19","256",17.68089719925,8.44735608976,"slow",6.39084507,11.76258993,3.97195130301029,5.57028904910506
"65","256",234,"1_I_10","256",14.61910605225,7.26792970592,"slow",4.864864865,10.26,4.90515538735759,4.2474185660026
"66","256",616,"2_H_28","256",24.19077301875,11.908621504,"slow",7.369337979,10.96153846,2.91311582067222,4.32225866072986
"67","268",1151,"3_N_3","268",7.30798851328,2.544505048,"slow",6.57079646,4.757462687,8.37803429206038,11.9764238680918
"68","268",133,"1_E_21","268",23.78283049368,12.37719875584,"slow",4.073275862,5.793991416,4.98895741398901,8.37560032460447
"69","268",1379,"4_H_7","268",19.946987847,8.3514844022175,"slow",3.214285714,5.95959596,9.28326358374096,10.4892920263165
"70","310",1157,"3_N_9","310",56.168305875,29.74444598,"med",9.439655172,11.33858268,3.31438567230502,3.56555831679284
"71","310",1403,"4_I_3","310",55.168704,25.6657236875,"med",9.043062201,13.75432526,2.98848590592107,3.14633703251183
"72","310",570,"2_G_10","310",43.643600369,18.7515012456525,"med",9.324324324,11.78571429,3.0601706529462,3.13685955733928
"73","318",1321,"4_F_5","318",3.88942571872,0.9812304559375,"slow",13.2518797,18.47639485,4.76616385963326,6.92170496494235
"74","318",34,"1_B_6","318",14.4165598247475,15.6822824723675,"slow",14.1509434,14.94680851,4.34959159736896,4.58881117301072
"75","318",421,"2_B_1","318",43.10367075,22.343475242475,"slow",11.39737991,10.6097561,4.03192106958918,3.80131386639121
"76","320",1442,"4_J_14","320",35.54342859375,15.30395680884,"med",7.445652174,6.545454545,4.01483623673481,4.96406745384804
"77","320",57,"1_C_1","320",54.5036121,32.3656565792,"med",11.69014085,8.705882353,6.34117220818994,8.16635904744171
"78","320",819,"3_B_7","320",41.6922522373125,17.96707794944,"med",7.635379061,9.507042254,6.36616014379358,6.83638795121971
"79","333",244,"1_I_20","333",129.9209599,90.068988772,"fast",6.923076923,7.660714286,5.20190020012371,4.94283265252541
"80","333",671,"2_J_27","333",95.2571501,47.64197275,"fast",4.494163424,4.211538462,3.52749853166402,3.23892241529629
"81","333",858,"3_C_18","333",102.4534273,50.33581604775,"fast",9.347014925,9.634146341,2.43533778871605,4.46586755854136
"82","335",1103,"3_L_11","335",17.7625771875,5.84588283125,"slow",8.411214953,8.167808219,3.23001611334113,4.45566134138078
"83","335",1485,"4_L_1","335",16.98738948125,6.28063991901,"slow",6.83908046,11.18951613,4.25875371269077,5.85151905351297
"84","335",19,"1_A_19","335",15.88303684448,5.5978886197325,"slow",8.445378151,7.528957529,4.12799750401571,4.31632610411793
"85","336",1150,"3_N_2","336",20.5260220035,9.839048,"slow",14.13265306,18.03135889,0.795489003199413,1.91329932124467
"86","336",223,"1_H_27","336",18.80978895,7.96664503696,"slow",13.98058252,14.19064748,1.4764668252104,2.54718559788629
