Quantify Compound Summary Report 

Printed Tue Dec 04 12:09:22 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 1	SalicinSTD_0015_0711_A	Standard	0.0150	2.69	11381	435155	0.026	bb	0.012410	-17.3
2	2	HS Batch 1	SalicinSTD_003_0711_A	Standard	0.0300	2.69	23843	450292	0.053	bb	0.025304	-15.7
3	3	HS Batch 1	SalicinSTD_015_0711_A	Standard	0.1500	2.69	147856	467967	0.316	bb	0.163321	8.9
4	4	HS Batch 1	SalicinSTD_0375_0711_A	Standard	0.3750	2.69	293861	469299	0.626	bb	0.368386	-1.8
5	5	HS Batch 1	BLANK_07112018_B	Blank				50				
6	6	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	0.0000	2.69	9	505405	0.000	bb	0.000009	
7	7	HS Batch 1	SalicortinSTD_003_0711_A	Standard	0.0000	2.72	51	526289	0.000	bb	0.000046	
8	8	HS Batch 1	SalicortinSTD_015_0711_A	Standard	0.0000	2.67	173	550080	0.000	bb	0.000148	
9	9	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	0.0000	2.69	279	559202	0.000	bb	0.000236	
10	10	HS Batch 1	SalicortinSTD_075_0711_A	Standard	0.0000	2.69	479	535144	0.001	bb	0.000422	
11	11	HS Batch 1	SalicortinSTD_100_0711_A	Standard	0.0000	2.67	713	538973	0.001	bb	0.000624	
12	12	HS Batch 1	BLANK_07112018_C	Blank				156				
13	13	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	0.0000			544691				
14	14	HS Batch 1	TremulacinSTD_003_0711_A	Standard	0.0000	2.67	60	614746	0.000	bb	0.000046	
15	15	HS Batch 1	TremulacinSTD_015_0711_A	Standard	0.0000			650126				
16	16	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	0.0000	2.47	72	590253	0.000	bb	0.000058	
17	17	HS Batch 1	TremulacinSTD_075_0711_A	Standard	0.0000			632565				
18	18	HS Batch 1	TremulacinSTD_100_0711_A	Standard	0.0000	2.67	51	601401	0.000	bb	0.000040	
19	19	HS Batch 1	BLANK_07112018_D	Blank				286				
20	20	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	0.0000	2.67	205	592642	0.000	bb	0.000163	
21	21	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	0.0000	2.67	544	599975	0.001	bb	0.000427	
22	22	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	0.0000	2.67	1951	613942	0.003	bb	0.001499	
23	23	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	0.0000	2.67	3706	614047	0.006	bb	0.002849	
24	24	HS Batch 4	BLANK_16112018_A	Blank		2.55	17	12	1.417	bbI		
25	25	HS Batch 4	HS-4_221_1611_A	Analyte		2.69	37424	1109150	0.034	bb	0.016043	
26	26	HS Batch 4	HS-4_251_1211_A	Analyte		2.67	45260	1183912	0.038	bb	0.018198	
27	27	HS Batch 4	HS-155	Analyte		2.67	152208	1224713	0.124	bb	0.060559	
28	28	HS Batch 4	HS-156	Analyte		2.67	151808	1131466	0.134	bb	0.065561	
29	29	HS Batch 4	HS-157	Analyte		2.67	57995	1117262	0.052	bb	0.024799	
30	30	HS Batch 4	HS-158	Analyte		2.67	59397	1095665	0.054	bb	0.025915	
31	31	HS Batch 4	HS-159	Analyte		2.67	48894	1127649	0.043	bb	0.020668	
32	32	HS Batch 4	HS-160	Analyte		2.67	323787	1141760	0.284	bb	0.145019	
33	33	HS Batch 4	HS-161	Analyte		2.67	185713	1106698	0.168	bb	0.082797	
34	34	HS Batch 4	HS-162	Analyte		2.65	11341	1166177	0.010	bb	0.004595	
35	35	HS Batch 4	HS-163	Analyte		2.65	20888	1149224	0.018	bb	0.008607	
36	36	HS Batch 4	HS-164	Analyte		2.65	99539	1107925	0.090	bb	0.043363	
37	37	HS Batch 4	HS-165	Analyte		2.65	111573	1204398	0.093	bb	0.044746	
38	38	HS Batch 4	HS-166	Analyte		2.65	49162	1114559	0.044	bb	0.021030	
39	39	HS Batch 4	HS-167	Analyte		2.65	13084	1141968	0.011	bb	0.005416	
40	40	HS Batch 4	HS-4_221_1611_B	Analyte		2.65	34079	1208772	0.028	bb	0.013386	
41	41	HS Batch 4	HS-4_251_1211_B	Analyte		2.65	45067	1197875	0.038	bb	0.017907	
42	42	HS Batch 4	HS-168	Analyte		2.65	35828	1113664	0.032	bb	0.015290	
43	43	HS Batch 4	HS-169	Analyte		2.65	27493	1256043	0.022	bb	0.010375	
44	44	HS Batch 4	HS-170	Analyte		2.65	18132	1110396	0.016	bb	0.007729	
45	45	HS Batch 4	HS-171	Analyte		2.65	295370	1104706	0.267	bb	0.136012	
46	46	HS Batch 4	HS-172	Analyte		2.65	23967	1116993	0.021	bb	0.010170	
47	47	HS Batch 4	HS-173	Analyte		2.65	45060	1076033	0.042	bb	0.019953	
48	48	HS Batch 4	HS-174	Analyte		2.65	67841	1160698	0.058	bb	0.027972	
49	49	HS Batch 4	HS-175	Analyte		2.65	59411	1101753	0.054	bb	0.025776	
50	50	HS Batch 4	HS-176	Analyte		2.65	41951	1104924	0.038	bb	0.018072	
51	51	HS Batch 4	HS-177	Analyte		2.65	142630	1111400	0.128	bb	0.062606	
52	52	HS Batch 4	HS-178	Analyte		2.65	74287	1143047	0.065	bb	0.031157	
53	53	HS Batch 4	HS-179	Analyte		2.65	25338	1111821	0.023	bb	0.010805	
54	54	HS Batch 4	HS-180	Analyte		2.65	279322	1131823	0.247	bb	0.124720	
55	55	HS Batch 4	HS-4_221_1611_C	Analyte		2.65	52415	1193476	0.044	bb	0.020938	
56	56	HS Batch 4	HS-4_251_1211_C	Analyte		2.65	64283	1231180	0.052	bb	0.024947	
57	57	HS Batch 4	HS-181	Analyte		2.65	112016	1289802	0.087	bb	0.041883	
58	58	HS Batch 4	HS-182	Analyte		2.65	81657	1128403	0.072	bb	0.034762	
59	59	HS Batch 4	HS-183	Analyte		2.65	11307	1116293	0.010	bb	0.004787	
60	60	HS Batch 4	HS-184	Analyte		2.65	281036	1123151	0.250	bb	0.126591	
61	61	HS Batch 4	HS-185	Analyte		2.65	21388	1134531	0.019	bb	0.008929	
62	62	HS Batch 4	HS-186	Analyte		2.65	341378	1124310	0.304	bb	0.156303	
63	63	HS Batch 4	HS-187	Analyte		2.65	43914	1176438	0.037	bb	0.017765	
64	64	HS Batch 4	HS-188	Analyte		2.65	73708	1146641	0.064	bb	0.030812	
65	65	HS Batch 4	HS-189	Analyte		2.65	69467	1172607	0.059	bb	0.028358	
66	66	HS Batch 4	HS-190	Analyte		2.65	163297	1157882	0.141	bb	0.069048	
67	67	HS Batch 4	HS-191	Analyte		2.65	4458	1177081	0.004	bb	0.001787	
68	68	HS Batch 4	HS-192	Analyte		2.65	290046	1231133	0.236	bb	0.118644	
69	69	HS Batch 4	HS-193	Analyte		2.65	42004	1163561	0.036	bb	0.017175	
