Analys.batch,std.batch,#,ID,Chem.ID,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,redo.flag,Type,Std. Conc,Scn.RT,Scn.Area,Scn.IS Area,Scn.Response,Scn.Detection Flags,Scn.Conc.,Scn.pctDev,Scort.Std. Conc,,Scort.RT,Scort.Area,Scort.IS Area,Scort.Response,Scort.Detection Flags,Scort.Conc.,Scort.pctDev,Tdin.Std. Conc,Tdin.RT,Tdin.Area,Tdin.IS Area,Tdin.Response,Tdin.Detection Flags,Tdin.Conc.,Tdin.pctDev,Tcin.Std. Conc,Tcin.RT,Tcin.Area,Tcin.IS Area,Tcin.Response,Tcin.Detection Flags,Tcin.Conc.,Tcin.pctDev
1,1,27,HS Batch 1,1,25.8,0.247455349,4.209972907,0.164830814,3.489660349,,Analyte,,2.67,20355,496657,0.041,bb,0.019524,,,,5.81,1052842,496657,2.12,bb,0.332163,,,10.08,34054,496657,0.069,bb,0.013005,,,16.13,1220980,496657,2.458,bb,0.275331,
1,1,28,HS Batch 1,2,22.1,0.490677557,2.515976471,0.230409231,1.677731946,,Analyte,,2.67,35104,508055,0.069,bb,0.033162,,,,5.82,592317,508055,1.166,bb,0.17004,,,10.09,41609,508055,0.082,bb,0.015572,,,16.12,567028,508055,1.116,bb,0.113388,
1,1,29,HS Batch 1,3,26.6,0.485324549,1.50990406,0.16680688,1.370953647,,Analyte,,2.67,40305,491689,0.082,bb,0.039479,,,,5.82,422403,491689,0.859,bb,0.122824,,,10.09,35156,491689,0.072,bb,0.013569,,,16.12,540305,491689,1.099,bb,0.111521,
1,1,30,HS Batch 1,4,24,0.181089875,2.224649125,0.07158575,1.491596875,,Analyte,,2.67,14000,500085,0.028,bb,0.013291,,,,5.81,561450,500085,1.123,bb,0.163277,,,10.08,13955,500085,0.028,bb,0.005254,,,16.13,540078,500085,1.08,bb,0.109475,
1,1,31,HS Batch 1,5,24.9,0.153952651,1.309260723,0.055393012,0.984821566,,Analyte,,2.67,12658,512210,0.025,bb,0.011723,,,,5.81,360631,512210,0.704,bb,0.099696,,,10.08,11486,512210,0.022,bb,0.004218,,,16.11,386404,512210,0.754,bb,0.074991,
1,1,32,HS Batch 1,6,23,0.090394174,4.386534391,0.049675565,4.431930522,,Analyte,,2.65,7101,528294,0.013,bb,0.006358,,,,5.82,1051510,528294,1.99,bb,0.308533,,,10.09,9821,528294,0.019,bb,0.003494,,,16.1,1436608,528294,2.719,bb,0.311726,
1,1,33,HS Batch 1,7,24.3,0.419865309,1.879980864,0.265475556,1.750607284,,Analyte,,2.67,35119,539633,0.065,bb,0.031201,,,,5.81,523585,539633,0.97,bb,0.139705,,,10.08,55766,539633,0.103,bb,0.019728,,,16.11,684370,539633,1.268,bb,0.130091,
1,1,34,HS Batch 1,8,24.8,2.419180282,1.551667742,1.369470726,3.134321371,,Analyte,,2.67,194902,555744,0.351,bb,0.183473,,,,5.81,458423,555744,0.825,bb,0.11768,,,10.08,277887,555744,0.5,bb,0.103862,,,16.11,1207612,555744,2.173,bb,0.23771,
1,1,35,HS Batch 1,9,25.6,0.822890391,2.819800195,0.537442383,3.037472344,,Analyte,,2.67,70220,532276,0.132,bb,0.064422,,,,5.83,788201,532276,1.481,bb,0.220755,,,10.08,114793,532276,0.216,bb,0.042075,,,16.13,1156974,532276,2.174,bb,0.237796,
1,1,36,HS Batch 1,10,23,0.077783348,4.13551213,0.046234957,2.776429043,,Analyte,,2.67,6219,537337,0.012,bb,0.005471,,,,5.83,1016378,537337,1.892,bb,0.290877,,,10.11,9299,537337,0.017,bb,0.003252,,,16.13,984350,537337,1.832,bb,0.195284,
1,1,37,HS Batch 1,11,20.8,0.775115769,1.740881971,0.476350962,1.296114808,,Analyte,,2.67,54479,535064,0.102,bb,0.049304,,,,5.83,416520,535064,0.778,bb,0.110735,,,10.11,84062,535064,0.157,bb,0.0303,,,16.13,441905,535064,0.826,bb,0.082444,
1,1,38,HS Batch 1,12,20.9,1.25517933,1.971966459,0.663184163,2.423007416,,Analyte,,2.67,86796,533043,0.163,bb,0.080224,,,,5.83,469278,533043,0.88,MM,0.126037,,,10.11,115774,533043,0.217,bb,0.042387,,,16.13,793206,533043,1.488,bb,0.154865,
1,1,41,HS Batch 1,13,25.9,3.262588842,1.413246023,1.36216332,3.686060154,,Analyte,,2.67,264191,559990,0.472,bb,0.258413,,,,5.83,440432,559990,0.787,bb,0.111936,,,10.11,289643,559990,0.517,bb,0.10789,,,16.15,1444454,559990,2.579,bb,0.291954,
1,1,42,HS Batch 1,14,21,1.655429714,1.087866714,1.215365571,1.555336571,,Analyte,,2.67,121767,572739,0.213,bb,0.106312,,,,5.83,286072,572739,0.499,bb,0.069863,,,10.13,221029,572739,0.386,bb,0.078051,,,16.18,567453,572739,0.991,bb,0.099884,
1,1,43,HS Batch 1,15,28.6,0.08713521,0.696269895,0.036210105,0.55804951,,Analyte,,2.67,9007,559418,0.016,bb,0.007621,,,,5.83,244453,559418,0.437,bb,0.060897,,,10.13,9429,559418,0.017,bb,0.003167,,,16.18,278708,559418,0.498,bb,0.048808,
1,1,44,HS Batch 1,16,22,0.072995318,1.613313955,0.022830545,1.260124227,,Analyte,,2.67,5954,572982,0.01,bb,0.004911,,,,5.83,437600,572982,0.764,bb,0.108541,,,10.11,4692,572982,0.008,bb,0.001536,,,16.16,485983,572982,0.848,bb,0.084779,
1,1,45,HS Batch 1,17,29.2,0.220624212,3.034246438,0.046507911,2.712095445,,Analyte,,2.67,23209,561237,0.041,bb,0.019701,,,,5.83,997720,561237,1.778,bb,0.270948,,,10.11,12391,561237,0.022,bb,0.004153,,,16.15,1239056,561237,2.208,bb,0.242181,
1,1,46,HS Batch 1,18,26.2,1.157954427,0.657469695,1.353293244,1.203609618,,Analyte,,2.67,109915,587852,0.187,bb,0.092778,,,,5.83,222953,587852,0.379,bb,0.052678,,,10.11,305400,587852,0.52,bb,0.108429,,,16.13,563422,587852,0.958,bb,0.096436,
1,1,47,HS Batch 1,19,23.5,1.028129745,0.598869191,0.690665745,0.846763021,,Analyte,,2.67,85483,567983,0.151,bb,0.073887,,,,5.83,176686,567983,0.311,bb,0.043038,,,10.08,143429,567983,0.253,bb,0.049635,,,16.13,350459,567983,0.617,bb,0.060853,
1,1,48,HS Batch 1,20,28.5,1.210519579,0.921738421,0.642423053,1.424102211,,Analyte,,2.67,126891,601132,0.211,bb,0.105504,,,,5.83,343779,601132,0.572,bb,0.080335,,,10.08,170160,601132,0.283,bb,0.055991,,,16.13,729881,601132,1.214,bb,0.124119,
1,1,49,HS Batch 1,21,22.9,0.607434629,0.415332838,0.470808603,0.617130393,,Analyte,,2.67,55133,625251,0.088,bb,0.042539,,,,5.83,132188,625251,0.211,MM,0.029086,,,10.08,106611,625251,0.171,bb,0.032971,,,16.13,276680,625251,0.443,bb,0.043218,
1,1,50,HS Batch 1,22,24.1,1.079520622,2.710965685,0.726618423,3.392238299,,Analyte,,2.67,93865,581051,0.162,bb,0.079561,,,,5.83,785865,581051,1.352,bb,0.199799,,,10.08,157694,581051,0.271,bb,0.053552,,,16.11,1317845,581051,2.268,bb,0.250009,
1,1,51,HS Batch 1,23,25.6,0.804982031,1.150912266,0.410270039,1.346243672,,Analyte,,2.67,78492,607742,0.129,bb,0.06302,,,,5.83,388252,607742,0.639,bb,0.090102,,,10.08,101032,607742,0.166,bb,0.032119,,,16.13,633356,607742,1.042,bb,0.105394,
1,1,52,HS Batch 1,24,21.2,0.6744375,1.096699387,0.324994811,1.191328868,,Analyte,,2.67,54192,598305,0.091,bb,0.043725,,,,5.83,303983,598305,0.508,bb,0.071101,,,10.08,65951,598305,0.11,bb,0.02107,,,16.11,464277,598305,0.776,bb,0.077236,
1,1,53,HS Batch 1,25,23.3,1.100698841,0.274104592,1.09386412,0.604248283,,Analyte,,2.67,97436,611470,0.159,bb,0.078429,,,,5.81,87142,611470,0.143,bb,0.019531,,,10.08,235673,611470,0.385,bb,0.077942,,,16.13,269586,611470,0.441,bb,0.043055,
1,1,56,HS Batch 1,26,28.3,1.062022049,0.984350883,0.833110495,1.402876219,,Analyte,,2.67,112456,606813,0.185,bb,0.091912,,,,5.81,367267,606813,0.605,bb,0.08519,,,10.08,217637,606813,0.359,bb,0.072101,,,16.13,721834,606813,1.19,bb,0.121411,
1,1,57,HS Batch 1,27,28.1,1.121598363,1.757432989,0.531974306,3.146566228,,Analyte,,2.67,116259,599755,0.194,bb,0.096382,,,,5.81,626056,599755,1.044,bb,0.151021,,,10.08,140029,599755,0.233,bb,0.045714,,,16.11,1452516,599755,2.422,bb,0.270393,
1,1,58,HS Batch 1,28,21.9,0.641367945,2.843720411,0.313472055,2.614551644,,Analyte,,2.67,54155,608364,0.089,bb,0.042954,,,,5.83,787481,608364,1.294,bb,0.190451,,,10.08,66823,608364,0.11,bb,0.020994,,,16.13,1011428,608364,1.663,bb,0.175103,
1,1,59,HS Batch 1,29,24,0.40921325,1.280436625,0.399634875,1.199803875,,Analyte,,2.67,37753,602246,0.063,bb,0.030034,,,,5.81,400644,602246,0.665,db,0.093977,,,10.08,91677,602246,0.152,bb,0.029331,,,16.13,529588,602246,0.879,bb,0.088059,
1,1,60,HS Batch 1,30,27.3,0.377032198,0.959547363,0.171165934,0.873185824,,Analyte,,2.67,42507,647534,0.066,bb,0.031477,,,,5.81,369311,647534,0.57,bb,0.080109,,,10.08,48723,647534,0.075,bb,0.01429,,,16.11,475421,647534,0.734,bb,0.072899,
1,1,61,HS Batch 1,31,20.2,0.191829208,2.826947376,0.122705941,2.882326931,,Analyte,,2.65,16621,665358,0.025,bb,0.01185,,,,5.81,795089,665358,1.195,bb,0.174631,,,10.08,26727,665358,0.04,bb,0.00758,,,16.09,1122837,665358,1.688,bb,0.178052,
1,1,62,HS Batch 1,32,28.1,0.063188968,0.581559609,0.054216833,0.385347972,,Analyte,,2.65,7203,627067,0.011,bb,0.00543,,,,5.81,225872,627067,0.36,bb,0.049975,,,10.08,15527,627067,0.025,bb,0.004659,,,16.09,213794,627067,0.341,bb,0.033114,
1,1,63,HS Batch 1,33,23.8,0.906738025,0.442741513,0.88806605,0.439073067,,Analyte,,2.67,86845,643175,0.135,bb,0.065995,,,,5.81,150459,643175,0.234,MM,0.032224,,,10.08,208359,643175,0.324,bb,0.064636,,,16.11,211757,643175,0.329,bb,0.031957,
