Quantify Compound Summary Report 

Printed Thu Dec 20 12:58:55 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	Batch 2	SalicinSTD_0015_1214_A	Standard	0.0150	2.69	22992	1029122	0.022	bb	0.016063	7.1
2	2	Batch 2	SalicinSTD_003_1214_A	Standard	0.0300	2.67	37708	1054879	0.036	bb	0.025531	-14.9
3	3	Batch 2	SalicinSTD_015_1214_A	Standard	0.1500	2.67	257833	1094084	0.236	bb	0.154428	3.0
4	4	Batch 2	SalicinSTD_0375_1214_A	Standard	0.3750	2.67	658517	1012276	0.651	bb	0.373808	-0.3
5	5	Batch 2	BLANK_20181214_B	Blank		2.63	22	215	0.104	bb	0.071689	
6	6	Batch 2	SalicortinSTD_0015_1214_A	Standard	0.0000			1114368				
7	7	Batch 2	SalicortinSTD_003_1214_A	Standard	0.0000	2.57	200	1120059	0.000	bb	0.000130	
8	8	Batch 2	SalicortinSTD_015_1214_A	Standard	0.0000	2.69	347	1115170	0.000	bb	0.000226	
9	9	Batch 2	SalicortinSTD_0375_1214_A	Standard	0.0000	2.67	395	1149782	0.000	bb	0.000250	
10	10	Batch 2	SalicortinSTD_075_1214_A	Standard	0.0000	2.69	716	1063227	0.001	bb	0.000490	
11	11	Batch 2	SalicortinSTD_100_1214_A	Standard	0.0000	2.69	1160	1057885	0.001	bb	0.000797	
12	12	Batch 2	BLANK_20181214_C	Blank				325				
13	13	Batch 2	TremulacinSTD_0015_1214_A	Standard	0.0000	2.53	63	1154850	0.000	bb	0.000040	
14	14	Batch 2	TremulacinSTD_003_1214_A	Standard	0.0000			1147625				
15	15	Batch 2	TremulacinSTD_015_1214_A	Standard	0.0000			1273731				
16	16	Batch 2	TremulacinSTD_0375_1214_A	Standard	0.0000			1174120				
17	17	Batch 2	TremulacinSTD_075_1214_A	Standard	0.0000	2.72	53	1264146	0.000	bb	0.000031	
18	18	Batch 2	TremulacinSTD_100_1214_A	Standard	0.0000	2.67	97	1155818	0.000	bb	0.000061	
19	19	Batch 2	BLANK_20181214_D	Blank				254				
20	20	Batch 2	TremuloidinSTD_0015_1214_A	Standard	0.0000	2.69	253	1151700	0.000	bb	0.000160	
21	21	Batch 2	TremuloidinSTD_003_1214_A	Standard	0.0000	2.69	450	1196201	0.000	bb	0.000274	
22	22	Batch 2	TremuloidinSTD_015_11214_A	Standard	0.0000	2.69	1990	1183909	0.002	bb	0.001221	
23	23	Batch 2	TremuloidinSTD_0375_1214_A	Standard	0.0000	2.67	5620	1330038	0.004	bb	0.003066	
24	24	HS Batch 5-2	BLANK_17122018_A	Blank				1027				
25	25	HS Batch 5-2	HS-5b_241_1712_A	Analyte		2.69	30799	1125613	0.027	bb	0.019623	
26	26	HS Batch 5-2	HS-5b_255_1712_A	Analyte		2.67	34454	1155653	0.030	bb	0.021356	
