Analys.batch,std.batch,chem.order,ID,Chem.ID,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,redo.flag,type.flag,Scn.Conc.,Scort.Conc.,Tdin.Conc.,Tcin.Conc.
1,1,27,HS Batch 1,1,25.8,0.247455349,4.209972907,0.164830814,3.489660349,,0,0.019524,0.332163,0.013005,0.275331
1,1,28,HS Batch 1,2,22.1,0.490677557,2.515976471,0.230409231,1.677731946,,0,0.033162,0.17004,0.015572,0.113388
1,1,29,HS Batch 1,3,26.6,0.485324549,1.50990406,0.16680688,1.370953647,,0,0.039479,0.122824,0.013569,0.111521
1,1,30,HS Batch 1,4,24,0.181089875,2.224649125,0.07158575,1.491596875,,0,0.013291,0.163277,0.005254,0.109475
1,1,31,HS Batch 1,5,24.9,0.153952651,1.309260723,0.055393012,0.984821566,,0,0.011723,0.099696,0.004218,0.074991
1,1,32,HS Batch 1,6,23,0.090394174,4.386534391,0.049675565,4.431930522,,0,0.006358,0.308533,0.003494,0.311726
1,1,33,HS Batch 1,7,24.3,0.419865309,1.879980864,0.265475556,1.750607284,,0,0.031201,0.139705,0.019728,0.130091
1,1,34,HS Batch 1,8,24.8,2.419180282,1.551667742,1.369470726,3.134321371,,0,0.183473,0.11768,0.103862,0.23771
1,1,35,HS Batch 1,9,25.6,0.822890391,2.819800195,0.537442383,3.037472344,,0,0.064422,0.220755,0.042075,0.237796
1,1,36,HS Batch 1,10,23,0.077783348,4.13551213,0.046234957,2.776429043,,0,0.005471,0.290877,0.003252,0.195284
1,1,37,HS Batch 1,11,20.8,0.775115769,1.740881971,0.476350962,1.296114808,,0,0.049304,0.110735,0.0303,0.082444
1,1,38,HS Batch 1,12,20.9,1.25517933,1.971966459,0.663184163,2.423007416,,0,0.080224,0.126037,0.042387,0.154865
1,1,41,HS Batch 1,13,25.9,3.262588842,1.413246023,1.36216332,3.686060154,,0,0.258413,0.111936,0.10789,0.291954
1,1,42,HS Batch 1,14,21,1.655429714,1.087866714,1.215365571,1.555336571,,0,0.106312,0.069863,0.078051,0.099884
1,1,43,HS Batch 1,15,28.6,0.08713521,0.696269895,0.036210105,0.55804951,,0,0.007621,0.060897,0.003167,0.048808
1,1,44,HS Batch 1,16,22,0.072995318,1.613313955,0.022830545,1.260124227,,0,0.004911,0.108541,0.001536,0.084779
1,1,45,HS Batch 1,17,29.2,0.220624212,3.034246438,0.046507911,2.712095445,,0,0.019701,0.270948,0.004153,0.242181
1,1,46,HS Batch 1,18,26.2,1.157954427,0.657469695,1.353293244,1.203609618,,0,0.092778,0.052678,0.108429,0.096436
1,1,47,HS Batch 1,19,23.5,1.028129745,0.598869191,0.690665745,0.846763021,,0,0.073887,0.043038,0.049635,0.060853
1,1,48,HS Batch 1,20,28.5,1.210519579,0.921738421,0.642423053,1.424102211,,0,0.105504,0.080335,0.055991,0.124119
1,1,49,HS Batch 1,21,22.9,0.607434629,0.415332838,0.470808603,0.617130393,,0,0.042539,0.029086,0.032971,0.043218
1,1,50,HS Batch 1,22,24.1,1.079520622,2.710965685,0.726618423,3.392238299,,0,0.079561,0.199799,0.053552,0.250009
1,1,51,HS Batch 1,23,25.6,0.804982031,1.150912266,0.410270039,1.346243672,,0,0.06302,0.090102,0.032119,0.105394
1,1,52,HS Batch 1,24,21.2,0.6744375,1.096699387,0.324994811,1.191328868,,0,0.043725,0.071101,0.02107,0.077236
1,1,53,HS Batch 1,25,23.3,1.100698841,0.274104592,1.09386412,0.604248283,,0,0.078429,0.019531,0.077942,0.043055
1,1,56,HS Batch 1,26,28.3,1.062022049,0.984350883,0.833110495,1.402876219,,0,0.091912,0.08519,0.072101,0.121411
1,1,57,HS Batch 1,27,28.1,1.121598363,1.757432989,0.531974306,3.146566228,,0,0.096382,0.151021,0.045714,0.270393
1,1,58,HS Batch 1,28,21.9,0.641367945,2.843720411,0.313472055,2.614551644,,0,0.042954,0.190451,0.020994,0.175103
1,1,59,HS Batch 1,29,24,0.40921325,1.280436625,0.399634875,1.199803875,,0,0.030034,0.093977,0.029331,0.088059
1,1,60,HS Batch 1,30,27.3,0.377032198,0.959547363,0.171165934,0.873185824,,0,0.031477,0.080109,0.01429,0.072899
1,1,61,HS Batch 1,31,20.2,0.191829208,2.826947376,0.122705941,2.882326931,,0,0.01185,0.174631,0.00758,0.178052
1,1,62,HS Batch 1,32,28.1,0.063188968,0.581559609,0.054216833,0.385347972,,0,0.00543,0.049975,0.004659,0.033114
1,1,63,HS Batch 1,33,23.8,0.906738025,0.442741513,0.88806605,0.439073067,,0,0.065995,0.032224,0.064636,0.031957
1,1,64,HS Batch 1,34,25.5,1.055838118,0.621889882,0.870256,0.769091176,,0,0.082336,0.048496,0.067864,0.059975
1,1,65,HS Batch 1,35,27.5,0.682526291,1.537125927,0.694987964,1.739235709,,0,0.057399,0.129269,0.058447,0.146266
1,1,66,HS Batch 1,36,26.9,0.502303606,1.36648316,0.304012751,1.304413941,,0,0.041321,0.112411,0.025009,0.107305
1,1,67,HS Batch 1,37,24.9,0.984939759,0.193547229,1.168703253,0.486218795,,0,0.075,0.014738,0.088993,0.037024
1,1,68,HS Batch 1,38,24.9,0.821781205,0.609874699,0.643677831,0.893379759,,0,0.062576,0.04644,0.049014,0.068028
1,1,75,HS Batch 2,39,24.8,0.765496452,0.232855645,0.638164234,0.430993911,,0,0.058056,0.01766,0.048399,0.032687
1,1,76,HS Batch 2,40,21.5,0.312064465,3.358305209,0.125689674,3.328312465,,0,0.020518,0.220806,0.008264,0.218834
1,1,77,HS Batch 2,41,21.7,0.863807419,3.792371198,0.337804562,3.829441244,,0,0.057323,0.251665,0.022417,0.254125
