Analys.batch,std.batch,#,ID,Chem.ID,redo.flag,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,IS Area,Scn.Conc.,Scort.Conc.,Tdin.Conc.,Tcin.Conc.
1,1,27,HS Batch 1,1,,25,0.25537392,4.34469204,0.1701054,3.60132948,496657,0.019524,0.332163,0.013005,0.275331
1,1,28,HS Batch 1,2,,26,0.4170759231,2.13858,0.1958478462,1.4260721538,508055,0.033162,0.17004,0.015572,0.113388
1,1,29,HS Batch 1,3,,27,0.4781345556,1.4875351111,0.1643356667,1.3506432222,491689,0.039479,0.122824,0.013569,0.111521
1,1,30,HS Batch 1,4,,28,0.1552198929,1.9068421071,0.0613592143,1.2785116071,500085,0.013291,0.163277,0.005254,0.109475
1,1,31,HS Batch 1,5,,29,0.132186931,1.1241583448,0.0475615862,0.8455881724,512210,0.011723,0.099696,0.004218,0.074991
1,1,32,HS Batch 1,6,,30,0.0693022,3.3630097,0.0380846,3.3978134,528294,0.006358,0.308533,0.003494,0.311726
1,1,33,HS Batch 1,7,,31,0.3291202258,1.4736624194,0.2080985806,1.3722502258,539633,0.031201,0.139705,0.019728,0.130091
1,1,34,HS Batch 1,8,,32,1.8748647188,1.2025425,1.0613398125,2.4290990625,555744,0.183473,0.11768,0.103862,0.23771
1,1,35,HS Batch 1,9,,33,0.6383634545,2.1874813636,0.416925,2.3563421818,532276,0.064422,0.220755,0.042075,0.237796
1,1,36,HS Batch 1,10,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,537337,0.005471,0.290877,0.003252,0.195284
1,1,37,HS Batch 1,11,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,535064,0.049304,0.110735,0.0303,0.082444
1,1,38,HS Batch 1,12,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,533043,0.080224,0.11951,0.042387,0.154865
1,1,41,HS Batch 1,13,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,559990,0.258413,0.111936,0.10789,0.291954
1,1,42,HS Batch 1,14,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,572739,0.106312,0.069863,0.078051,0.099884
1,1,43,HS Batch 1,15,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,559418,0.007621,0.060897,0.003167,0.048808
1,1,44,HS Batch 1,16,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,572982,0.004911,0.108541,0.001536,0.084779
1,1,45,HS Batch 1,17,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,561237,0.019701,0.270948,0.004153,0.242181
1,1,46,HS Batch 1,18,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,587852,0.092778,0.052678,0.108429,0.096436
1,1,47,HS Batch 1,19,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,567983,0.073887,0.043038,0.049635,0.060853
1,1,48,HS Batch 1,20,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,601132,0.105504,0.080335,0.055991,0.124119
1,1,49,HS Batch 1,21,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,625251,0.042539,0.028037,0.032971,0.043218
1,1,50,HS Batch 1,22,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,581051,0.079561,0.199799,0.053552,0.250009
1,1,51,HS Batch 1,23,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,607742,0.06302,0.090102,0.032119,0.105394
1,1,52,HS Batch 1,24,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,598305,0.043725,0.071101,0.02107,0.077236
1,1,53,HS Batch 1,25,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,611470,0.078429,0.019531,0.077942,0.043055
1,1,56,HS Batch 1,26,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,606813,0.091912,0.08519,0.072101,0.121411
1,1,57,HS Batch 1,27,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,599755,0.096382,0.151021,0.045714,0.270393
1,1,58,HS Batch 1,28,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,608364,0.042954,0.190451,0.020994,0.175103
1,1,59,HS Batch 1,29,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,602246,0.030034,0.093977,0.029331,0.088059
1,1,60,HS Batch 1,30,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,647534,0.031477,0.080109,0.01429,0.072899
