Quantify Compound Summary Report 

Printed Thu Dec 13 08:39:38 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 6	HS-5_248_2811_A_repeat	Analyte		2.67	29881	1262717	0.024	bb	0.011222	
2	2	HS Batch 6	HS-5_266_2811_A_repeat	Analyte		2.67	31983	1203159	0.027	bb	0.012616	
3	3	HS Batch 6	HS-310_repeat	Analyte		2.67	13339	1319949	0.010	bb	0.004776	
4	4	HS Batch 6	HS-311_repeat	Analyte		2.67	68229	1301953	0.052	bb	0.025040	
5	5	HS Batch 6	HS-312_repeat	Analyte		2.67	16568	1251016	0.013	bb	0.006263	
6	6	HS Batch 6	HS-313_repeat	Analyte		2.67	15000	1301631	0.012	bb	0.005448	
7	7	HS Batch 6	HS-314_repeat	Analyte		2.67	181193	1318234	0.137	bb	0.067227	
8	8	HS Batch 6	HS-316_repeat	Analyte		2.67	23510	1318494	0.018	bb	0.008443	
9	9	HS Batch 6	HS-317_repeat	Analyte		2.67	6289	1359002	0.005	bb	0.002184	
10	10	HS Batch 6	HS-318_repeat	Analyte		2.67	14570	1488751	0.010	bb	0.004625	
11	11	HS Batch 6	HS-5_248_2811_B_repeat	Analyte		2.67	38120	1396981	0.027	bb	0.012953	
12	12	HS Batch 6	HS-5_266_2811_B_repeat	Analyte		2.67	37912	1316357	0.029	bb	0.013676	
13	13	HS Batch 6	HS-319_repeat	Analyte		2.67	107089	1387873	0.077	bb	0.037113	
14	14	HS Batch 6	HS-320_repeat	Analyte		2.67	213663	1383845	0.154	bb	0.075884	
15	15	HS Batch 6	HS-321_repeat	Analyte		2.67	29540	1400382	0.021	bb	0.009997	
16	16	HS Batch 6	HS-322_repeat	Analyte		2.69	90818	1408585	0.064	bb	0.030906	
17	17	HS Batch 6	HS-323_repeat	Analyte		2.67	40111	1348540	0.030	bb	0.014128	
18	18	HS Batch 6	HS-324_repeat	Analyte		2.67	47385	1347344	0.035	bb	0.016728	
19	19	HS Batch 6	HS-5_248_2811_C_repeat	Analyte		2.67	44403	1395931	0.032	bb	0.015117	
20	20	HS Batch 6	HS-5_266_2811_C_repeat	Analyte		2.67	40118	1389439	0.029	bb	0.013711	
21	21	HS Batch 6	BLANK_28112018_B_repeat	Blank								
22	22	HS Batch 1	BLANK_07112018_A	Blank				119				
23	23	HS Batch 1	SalicinSTD_0015_0711_A	Standard	0.0150	2.69	11381	435155	0.026	bb	0.012410	-17.3
24	24	HS Batch 1	SalicinSTD_003_0711_A	Standard	0.0300	2.69	23843	450292	0.053	bb	0.025304	-15.7
25	25	HS Batch 1	SalicinSTD_015_0711_A	Standard	0.1500	2.69	147856	467967	0.316	bb	0.163321	8.9
26	26	HS Batch 1	SalicinSTD_0375_0711_A	Standard	0.3750	2.69	293861	469299	0.626	bb	0.368386	-1.8
27	27	HS Batch 1	BLANK_07112018_B	Blank				50				
28	28	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	0.0000	2.69	9	505405	0.000	bb	0.000009	
29	29	HS Batch 1	SalicortinSTD_003_0711_A	Standard	0.0000	2.72	51	526289	0.000	bb	0.000046	
30	30	HS Batch 1	SalicortinSTD_015_0711_A	Standard	0.0000	2.67	173	550080	0.000	bb	0.000148	
31	31	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	0.0000	2.69	279	559202	0.000	bb	0.000236	
32	32	HS Batch 1	SalicortinSTD_075_0711_A	Standard	0.0000	2.69	479	535144	0.001	bb	0.000422	
33	33	HS Batch 1	SalicortinSTD_100_0711_A	Standard	0.0000	2.67	713	538973	0.001	bb	0.000624	
34	34	HS Batch 1	BLANK_07112018_C	Blank				156				
35	35	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	0.0000			544691				
36	36	HS Batch 1	TremulacinSTD_003_0711_A	Standard	0.0000	2.67	60	614746	0.000	bb	0.000046	
37	37	HS Batch 1	TremulacinSTD_015_0711_A	Standard	0.0000			650126				
38	38	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	0.0000	2.47	72	590253	0.000	bb	0.000058	
39	39	HS Batch 1	TremulacinSTD_075_0711_A	Standard	0.0000			632565				
40	40	HS Batch 1	TremulacinSTD_100_0711_A	Standard	0.0000	2.67	51	601401	0.000	bb	0.000040	
41	41	HS Batch 1	BLANK_07112018_D	Blank				286				
42	42	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	0.0000	2.67	205	592642	0.000	bb	0.000163	
43	43	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	0.0000	2.67	544	599975	0.001	bb	0.000427	
44	44	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	0.0000	2.67	1951	613942	0.003	bb	0.001499	
45	45	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	0.0000	2.67	3706	614047	0.006	bb	0.002849	

Compound 2:  Salicortin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 6	HS-5_248_2811_A_repeat	Analyte		5.85	3036141	1262717	2.404	bb	0.386354	
2	2	HS Batch 6	HS-5_266_2811_A_repeat	Analyte		5.85	3091944	1203159	2.570	bb	0.419461	
3	3	HS Batch 6	HS-310_repeat	Analyte		5.85	3425603	1319949	2.595	bb	0.424661	
4	4	HS Batch 6	HS-311_repeat	Analyte		5.83	1288684	1301953	0.990	bb	0.142699	
5	5	HS Batch 6	HS-312_repeat	Analyte		5.83	2003805	1251016	1.602	bb	0.240899	
