,Genet,SerialNo,Tree.ID,group,Keep,Blk,Row,Pos,by.5
75,318,421,2_B_1,slow,x,2,B,1,1
3,118,650,2_J_6,fast,,2,J,6,
14,143,617,2_I_1,med,x,2,I,1,1
6,135,930,3_F_6,fast,,3,F,6,
105,66,647,2_J_3,slow,x,2,J,3,1
9,138,529,2_E_25,med,,2,E,25,
101,63,512,2_E_8,fast,x,2,E,8,2
99,6,602,2_H_14,slow,x,2,H,14,3
15,143,965,3_G_13,med,,3,G,13,
47,189,715,2_L_15,med,x,2,L,15,3
29,172,523,2_E_19,fast,x,2,E,19,4
21,16,683,2_K_11,fast,,2,K,11,
26,171,415,2_A_23,med,x,2,A,23,5
95,58,441,2_B_21,med,x,2,B,21,5
27,171,955,3_G_3,med,,3,G,3,
24,168,473,2_C_25,med,x,2,C,25,5
30,172,872,3_D_4,fast,,3,D,4,
35,176,497,2_D_21,slow,x,2,D,21,5
62,251,526,2_E_22,fast,x,2,E,22,5
36,176,894,3_D_26,slow,,3,D,26,
18,158,528,2_E_24,slow,x,2,E,24,5
108,91,555,2_F_23,fast,x,2,F,23,5
42,182,815,3_B_3,fast,,3,B,3,
43,186,466,2_C_18,fast,,2,C,18,
44,186,467,2_C_19,fast,,2,C,19,
51,203,639,2_I_23,med,x,2,I,23,5
32,174,697,2_K_25,med,x,2,K,25,5
48,189,906,3_E_10,med,,3,E,10,
41,182,751,2_M_23,fast,x,2,M,23,5
66,256,616,2_H_28,slow,x,2,H,28,6
80,333,671,2_J_27,fast,x,2,J,27,6
90,368,672,2_J_28,med,x,2,J,28,6
5,135,700,2_K_28,fast,x,2,K,28,6
63,251,859,3_C_19,fast,,3,C,19,
54,207,783,2_N_27,slow,x,2,N,27,6
7,138,1149,3_N_1,med,x,3,N,1,1
85,336,1150,3_N_2,slow,x,3,N,2,1
72,310,570,2_G_10,med,,2,G,10,
67,268,1151,3_N_3,slow,x,3,N,3,1
78,320,819,3_B_7,med,x,3,B,7,2
12,141,959,3_G_7,fast,x,3,G,7,2
81,333,858,3_C_18,fast,,3,C,18,
1,118,1127,3_M_7,fast,x,3,M,7,2
70,310,1157,3_N_9,med,x,3,N,9,2
87,336,451,2_C_3,slow,,2,C,3,
88,368,1053,3_J_17,med,,3,J,17,
57,237,937,3_F_13,fast,x,3,F,13,3
92,5,586,2_G_26,med,,2,G,26,
82,335,1103,3_L_11,slow,x,3,L,11,3
60,24,803,3_A_19,slow,x,3,A,19,4
96,58,902,3_E_6,med,,3,E,6,
39,178,833,3_B_21,slow,x,3,B,21,5
45,186,835,3_B_23,fast,x,3,B,23,5
102,63,941,3_F_17,fast,,3,F,17,
103,66,1032,3_I_24,slow,,3,I,24,
19,16,1114,3_L_22,fast,x,3,L,22,5
93,5,950,3_F_26,med,x,3,F,26,6
